EDA,Time,Artifact
0.028695254439304953,0.25,1
0.028875824513986858,0.5,1
0.02866017202391602,0.75,1
0.02808087606917647,1.0,1
0.02731559189613003,1.25,1
0.026623598147567738,1.5,1
0.026272258689949583,1.75,1
0.025878777086752992,2.0,1
0.02538534619538527,2.25,1
0.024967851139821643,2.5,1
0.02472605726392211,2.75,1
0.0249751514952472,3.0,1
0.025255333643403887,3.25,1
0.025225640813712067,3.5,1
0.02508800702177978,3.75,1
0.02472367050171587,4.0,1
0.024312732393127097,4.25,1
0.023838536748648814,4.5,1
0.023489408783433155,4.75,1
0.023288765343137993,5.0,1
0.022877591058246643,5.25,1
0.022692764765409507,5.5,1
0.022593610715981587,5.75,1
0.022474481814008893,6.0,1
0.022446640472377166,6.25,1
0.022262457828100872,6.5,1
0.022236117622050525,6.75,1
0.022335611094622957,7.0,1
0.022834218083768884,7.25,1
0.023624153779095367,7.5,1
0.023980190514698286,7.75,1
0.024827565628262764,8.0,1
0.02609135025105578,8.25,1
0.027004579464902354,8.5,1
0.027674909680924578,8.75,1
0.02788281815324642,9.0,1
0.027810755934603856,9.25,1
0.02728379098584303,9.5,1
0.026400838364906993,9.75,1
0.02572550760874985,10.0,1
0.02519843427193063,10.25,1
0.02470856963267184,10.5,1
0.02459356106605756,10.75,1
0.02483311724071515,11.0,1
0.025531235479957993,11.25,1
0.02686371465977803,11.5,1
0.027388797328961878,11.75,1
0.02745420631086594,12.0,1
0.02786968483606226,12.25,1
0.027863005159675644,12.5,1
0.027557750854134318,12.75,1
0.02742341129803165,13.0,1
0.028197928273741353,13.25,1
0.029424791521459548,13.5,1
0.030262069801568568,13.75,1
0.03073987739903992,14.0,1
0.03070967191055723,14.25,1
0.030326011173628153,14.5,1
0.029576389876624674,14.75,1
0.028750658499110005,15.0,1
0.028125073756725582,15.25,1
0.02745552486755423,15.5,1
0.026939754232792566,15.75,1
0.026567165506634377,16.0,1
0.02624264745262326,16.25,1
0.025981892622151136,16.5,1
0.02577780117222617,16.75,1
0.026140455962656108,17.0,1
0.026930465895660557,17.25,1
0.02752376719664819,17.5,1
0.02790393567884957,17.75,1
0.027839551403952504,18.0,1
0.027450440082673878,18.25,1
0.02708316783927879,18.5,1
0.026549962648836627,18.75,1
0.02606855649992081,19.0,1
0.025723283794279923,19.25,1
0.025365786978269342,19.5,1
0.02512011911095482,19.75,1
0.02484724800926191,20.0,1
0.024641955319136998,20.25,1
0.02456354191224612,20.5,1
0.024351139876190715,20.75,1
0.02418864749426229,21.0,1
0.024030791213432934,21.25,1
0.023859214585887367,21.5,1
0.023852370229685744,21.75,1
0.02373359610362597,22.0,1
0.02360960467358155,22.25,1
0.02350606082085764,22.5,1
0.023307533071360128,22.75,1
0.02312918010716153,23.0,1
0.02292107463209883,23.25,1
0.023052154205351106,23.5,1
0.023167473393371836,23.75,1
0.022793809650311452,24.0,1
0.022700658039165607,24.25,1
0.02262362441219307,24.5,1
0.022357228665738735,24.75,1
0.02238444429227259,25.0,1
0.02255926644901247,25.25,1
0.022743136220933068,25.5,1
0.022839085439464567,25.75,1
0.022940132456893515,26.0,1
0.022761811583220725,26.25,1
0.0223907752892753,26.5,1
0.02244786368989487,26.75,1
0.02305902843764421,27.0,1
0.023116585053100935,27.25,1
0.02310659480213741,27.5,1
0.024344822584652818,27.75,1
0.024750002406825407,28.0,1
0.02415119887714434,28.25,1
0.023684521580747308,28.5,1
0.023313095663322576,28.75,1
0.023501728290750624,29.0,1
0.023731327001259662,29.25,1
0.02398274576246547,29.5,1
0.023962491191674706,29.75,1
0.02366455881932662,30.0,1
0.023412994523369604,30.25,1
0.02283619092803742,30.5,1
0.022887971036506586,30.75,1
0.023296239218367494,31.0,1
0.023143449829881358,31.25,1
0.022887212974300866,31.5,1
0.023017383487602225,31.75,1
0.02398197140019739,32.0,1
0.02518891285490356,32.25,1
0.026046612461366105,32.5,1
0.026850681468529522,32.75,1
0.027597977727084985,33.0,1
0.028319671152280977,33.25,1
0.028884338101714303,33.5,1
0.029206923709897973,33.75,1
0.029277003182260675,34.0,1
0.028865675929762778,34.25,1
0.0281885714020012,34.5,1
0.027582517000668702,34.75,1
0.027114078972694848,35.0,1
0.02684911651444219,35.25,1
0.026601476377491867,35.5,1
0.026296637635592184,35.75,1
0.026089172955983148,36.0,1
0.025796368116254745,36.25,1
0.025537070683493188,36.5,1
0.025354681834513924,36.75,1
0.025086303314729597,37.0,1
0.02497499167996248,37.25,1
0.024846321896783388,37.5,1
0.024513304956516203,37.75,1
0.024175835192818008,38.0,1
0.02391796424963172,38.25,1
0.023797331786732805,38.5,1
0.023651316285907706,38.75,1
0.023506626317822993,39.0,1
0.0234108629802764,39.25,1
0.02324560260146422,39.5,1
0.023151942881407813,39.75,1
0.02303423166556065,40.0,1
0.022981080225480857,40.25,1
0.0230882566881392,40.5,1
0.023151534325203157,40.75,1
0.02311852074157067,41.0,1
0.02306137917449079,41.25,1
0.02289805316819949,41.5,1
0.022711030192311746,41.75,1
0.023654722971436788,42.0,1
0.025496516457389876,42.25,1
0.02686478386511046,42.5,1
0.027841514753644242,42.75,1
0.028183134702911533,43.0,1
0.027745265415763637,43.25,1
0.027292028378820714,43.5,1
0.02674548066930766,43.75,1
0.026031855992418945,44.0,1
0.025518560574683456,44.25,1
0.024796892042625307,44.5,1
0.02412074661607359,44.75,1
0.023746311146770716,45.0,1
0.023382423462848082,45.25,1
0.023170094934491514,45.5,1
0.022817989601746334,45.75,1
0.023010322536408216,46.0,1
0.022944754094283336,46.25,1
0.021816769742501144,46.5,1
0.021723718382041544,46.75,1
0.0223762208707938,47.0,1
0.0231596582874164,47.25,1
0.024336345785608532,47.5,1
0.024859213586212826,47.75,1
0.024950579744570853,48.0,1
0.02522867891489868,48.25,1
0.024648331090984556,48.5,1
0.024339306485877392,48.75,1
0.024748421860354898,49.0,1
0.022681642216266697,49.25,1
0.020849641459014936,49.5,1
0.021165701956638912,49.75,1
0.020670381252776593,50.0,1
0.020467285533408645,50.25,1
0.020259308861927627,50.5,1
0.01998651871974098,50.75,1
0.020124727218950603,51.0,1
0.019637202698287774,51.25,1
0.022321802350616513,51.5,1
0.023780437140726658,51.75,1
0.019849409320038165,52.0,1
0.018778559459531437,52.25,1
0.019361049454296567,52.5,1
0.01873147100177016,52.75,1
0.01918135416774061,53.0,1
0.01949063228901588,53.25,1
0.01981406439121233,53.5,1
0.019676356286240718,53.75,1
0.020615021514750254,54.0,1
0.023046363820143936,54.25,1
0.023110636994118975,54.5,1
0.021335178217250995,54.75,1
0.021843843492193912,55.0,1
0.024009796750244266,55.25,1
0.02421062863260459,55.5,1
0.02381796652000887,55.75,1
0.023678414252559392,56.0,1
0.023573618975464155,56.25,1
0.024308164546845205,56.5,1
0.024881952541420026,56.75,1
0.025089759186443697,57.0,1
0.024964403528334882,57.25,1
0.024449957035180797,57.5,1
0.02369782466173462,57.75,1
0.022956387178592545,58.0,1
0.022477542873809646,58.25,1
0.021925990237913362,58.5,1
0.02171577982371563,58.75,1
0.021152819616685522,59.0,1
0.019925818989306787,59.25,1
0.01937567401668116,59.5,1
0.01893170419767106,59.75,1
0.018148712672566073,60.0,1
0.017631931473404302,60.25,1
0.017266990869741775,60.5,1
0.017201790372614177,60.75,1
0.01818201784713382,61.0,1
0.0192435902006785,61.25,1
0.019853612438385692,61.5,1
0.02165266388326078,61.75,1
0.023674939271951433,62.0,1
0.02419426091814034,62.25,1
0.023923162632986602,62.5,1
0.023758110613253416,62.75,1
0.02372789218358718,63.0,1
0.022837091988764574,63.25,1
0.020801040678857408,63.5,1
0.019727594631170017,63.75,1
0.01951736559256693,64.0,1
0.01847452433875746,64.25,1
0.018610775375705154,64.5,1
0.018455664189728375,64.75,1
0.01736775781781773,65.0,1
0.018547151347908068,65.25,1
0.019228241500546053,65.5,1
0.019360284328435475,65.75,1
0.020672730593539718,66.0,1
0.021890591396854557,66.25,1
0.023199169155944492,66.5,1
0.02339198751977011,66.75,1
0.023203928926290807,67.0,1
0.02332783038562626,67.25,1
0.022955547283814336,67.5,1
0.022684011135349895,67.75,1
0.022347314003609186,68.0,1
0.022001600410927087,68.25,1
0.02165572407409748,68.5,1
0.021366851601293355,68.75,1
0.021179482167526787,69.0,1
0.020870435462255647,69.25,1
0.020732653354888716,69.5,1
0.02052192354020661,69.75,1
0.020282552238400753,70.0,1
0.020160940383577755,70.25,1
0.019993624015388345,70.5,1
0.019909349686081712,70.75,1
0.01981634106679578,71.0,1
0.020205977039169903,71.25,1
0.021132154594691623,71.5,1
0.021808209690473583,71.75,1
0.021987755032075843,72.0,1
0.021885149830981887,72.25,1
0.02179171830857295,72.5,1
0.021405826903765093,72.75,1
0.020928644343416982,73.0,1
0.020519031614590514,73.25,1
0.020423177717841766,73.5,1
0.020916201530834393,73.75,1
0.021311345266910454,74.0,1
0.02164826286891232,74.25,1
0.020015698500204886,74.5,1
0.01685747909161688,74.75,1
0.01608304792666023,75.0,1
0.01623076917773907,75.25,1
0.01583632840946744,75.5,1
0.016112476185592958,75.75,1
0.016535972223349623,76.0,1
0.01717000695932575,76.25,1
0.018440636553267185,76.5,1
0.019623691772460435,76.75,1
0.020405003902322843,77.0,1
0.0207772141946704,77.25,1
0.020645490755808543,77.5,1
0.02074835744027313,77.75,1
0.021206706290298586,78.0,1
0.021756037488457548,78.25,1
0.021976014657092025,78.5,1
0.021535714930527926,78.75,1
0.02128884560928267,79.0,1
0.02094277635623391,79.25,1
0.020574066694251256,79.5,1
0.020288987447419072,79.75,1
0.02030646840781611,80.0,1
0.020761814389227834,80.25,1
0.01981538826375857,80.5,1
0.01858377757328086,80.75,1
0.018271992814392426,81.0,1
0.01813603014496329,81.25,1
0.018246223598942842,81.5,1
0.018544588688819773,81.75,1
0.019352371597449805,82.0,1
0.020041453220600695,82.25,1
0.02044936205258091,82.5,1
0.02093563031367261,82.75,1
0.021116563661186714,83.0,1
0.021167515866243224,83.25,1
0.020763766783793783,83.5,1
0.020494662804859374,83.75,1
0.020495463397774524,84.0,1
0.020818344855177702,84.25,1
0.022044925806045543,84.5,1
0.02221733593017754,84.75,1
0.021612805016387602,85.0,1
0.021045941776713272,85.25,1
0.01989030913903217,85.5,1
0.019747647597199276,85.75,1
0.020033511233523583,86.0,1
0.019537303618159984,86.25,1
0.019121710499739653,86.5,1
0.019320417361277153,86.75,1
0.020502881938121765,87.0,1
0.021522986879730747,87.25,1
0.02171384819978686,87.5,1
